Year,Concrete.CO2 emissions[1],Emissions.CO2 emissions from Energy[1],Emissions.CO2 emissions from Food and Land Use[1],Emissions.N2O emissions from Food and Land Use[1],Emissions.N2O emissions from Other[1],Emissions.N2O emissions from Energy[1],Emissions.CH4 emissions from Energy[1],Emissions.CH4 emissions from Food and Land Use[1],Emissions.CH4 emissions from Other[1],Emissions.SO2 emissions from Energy[1],Emissions.SO2 emissions from Food and Land Use[1]
1980,406.28597101526975,19083.03343849067,4967.734762128769,1797.28823,621.89779,5703.2048,128.37939415816896,121.91016194816277,43.18233342938508,140.28803592603722,2.043314366334037
1981,406.29916781598905,18617.381618767307,4830.136789279559,1741.02794,624.11761,5578.5592,121.00953138759024,122.8011697436313,43.91589997816227,135.79484214002483,2.043314366334037
1982,404.2964470464919,18467.571273182388,4543.884272565297,1667.3441699999998,717.4101499999999,5752.0534,119.09898134703725,123.14365484364389,44.711656384770514,132.66314746600045,2.043314366334037
1983,413.46209708853775,18579.223077548413,4785.150194201837,1745.1098299999999,735.60916,5790.8058,117.46679337506261,123.6222577813499,45.614577584516994,130.61985358335397,2.043314366334037
1984,421.2443691179032,19227.35854902617,5639.309236763886,1722.2765,750.23062,5838.7646,119.20632516656616,124.56967369090054,46.47738040943627,131.84948181650893,2.043314366334037
1985,425.7905401861507,19886.93967399429,5291.178395930296,1646.5230099999999,741.1938299999999,5908.8574,119.38745198056338,124.81519837123726,47.28143024855262,132.36322306186753,2.043314366334037
1986,442.35135659168077,20173.45278831636,5527.406112050089,1610.5302900000002,766.68209,5966.0397,122.49359425500053,125.60451732977963,48.188168478747286,131.55805732122087,2.043314366334037
1987,459.07380705773187,20791.867656441485,5340.021508321747,1634.10726,791.77288,6087.359,123.51588375458063,125.32329448407376,49.07969416880341,134.18992425277006,2.043314366334037
1988,482.9256045000542,21603.105333985965,5171.195821642369,1587.77391,815.09838,6077.4612,126.85513286859091,126.593822842115,49.93923300157627,135.29829712281006,2.043314366334037
1989,493.2545531117753,21894.296148784782,4953.545343318875,1569.65647,812.46501,6205.1099,128.91746025492503,128.1671872544941,50.819191028730906,134.94013495783386,2.043314366334037
1990,494.3894032249911,22235.52608367419,4976.803532058914,1416.33105,823.24663,6417.6919,127.53946689134703,128.452865336891,51.640323625571234,135.48690418998032,2.043314366334037
1991,508.3134152309024,22678.733865951297,4970.189742271475,1435.64169,836.25757,6316.2744,124.85227339937715,128.5797812189761,52.63009964008721,132.92871111985718,2.043314366334037
1992,529.3937053452505,21999.697326743808,5258.219371477099,1453.39897,851.6053400000001,6344.8982,121.75884583518791,128.1872268867344,53.39927157808242,128.39747189956063,2.043314366334037
1993,552.2303010782136,22204.48496922052,4974.064580332537,1431.9850900000001,870.51406,6296.828,120.29993919293211,129.37655460201145,54.01956829824352,126.3800730847918,2.043314366334037
1994,589.4624240285746,22404.422432010375,5889.616447209572,1503.74235,867.56133,6362.546,120.29148569524052,130.2813024180808,54.95445547580833,123.2852363177599,2.043314366334037
1995,623.521958552599,22909.520997614236,5432.623725719567,1599.74606,879.24128,6486.635,122.31496902706779,131.31052259134532,55.84038200807548,120.81163338117754,2.043314366334037
1996,636.3978838405172,23622.75913664963,6012.78683153355,1646.93427,900.43784,6439.6312,127.14421500600753,131.57283863147617,56.529483355303995,117.47973596117455,2.043314366334037
1997,662.3870221709143,23740.514116551894,7406.867458391268,1648.30332,857.5394699999999,6412.2405,128.51599661853902,129.75655296179102,57.228889212090685,117.2102638789124,2.043314366334037
1998,660.1016661330564,23644.667078982882,6144.714533083002,1585.71893,908.24344,6579.8969,126.09594973470827,130.18701870198538,57.51124308726341,113.97983172675906,2.043314366334037
1999,692.7083423093825,24162.03320344399,6003.159278809729,1544.9660800000001,906.1659500000001,6603.4477,124.63618628115427,131.40956115520876,58.17627667079426,108.47918436688498,2.043314366334037
2000,724.0289382979677,24787.564518540767,5297.4349311447295,1501.89037,934.2134900000001,6507.1993,128.03577443510446,131.64583259239336,59.094684692586775,107.8005392250141,2.043314366334037
2001,757.388658381002,24949.95343525684,4765.437070070854,1497.18683,909.45045,6632.2187,129.09026393708416,131.48892512520322,59.85034308751342,108.48727653911807,2.043314366334037
2002,785.2469222249244,25492.693725889007,5128.325272881681,1494.13798,899.52098,6805.4893,126.68525581661426,131.9322192031502,60.665617336154774,107.3646523468404,2.043314366334037
2003,863.608767150366,26807.00975415264,6075.929287218897,1540.2572300000002,922.36047,6891.2798,133.1945136427048,133.06876752814918,61.69593745492421,111.72819009760344,2.043314366334037
2004,902.6313170120061,27731.042629140844,5404.208246605111,1633.2840099999999,944.61097,7103.2562,138.96501354412922,134.50942565354674,62.79791721065486,117.09624062299477,2.043314366334037
2005,968.3315340646758,28647.27063602275,4891.181519395206,1692.46209,947.90154,7116.878,142.15216249324638,136.42898599952036,63.10876810282094,122.96461590194305,2.043314366334037
2006,1055.8777700574406,29573.76776548237,5332.36343593629,1715.6939,956.21624,7182.104,144.6218548268429,137.34439005515006,64.3474348517568,123.6192213700525,2.043314366334037
2007,1134.042189876785,30401.888245101112,4594.770148284447,1808.50047,980.96216,7403.7607,144.0249863622225,138.50094742624864,65.12903788114949,122.38311596053319,2.043314366334037
2008,1149.0348452120277,30926.47212843456,4880.509684073368,1727.59065,969.64075,7309.2559,146.6215026035154,139.55423548593095,65.42288714062613,118.84639744034652,2.043314366334037
2009,1182.0856639376639,30361.122977386327,5274.195063152023,1592.8550500000001,964.5684699999999,7328.8984,143.72601149199036,139.739691542481,66.1968846171966,109.39997579932039,2.043314366334037
2010,1263.1945011990726,32094.069638021207,5488.135590140459,1654.2586000000001,997.04561,7583.8862,147.41324191430772,140.20150334619305,67.69519536839765,105.69075091700824,2.043314366334037
2011,1358.8995658007693,33147.04610704977,5278.4821180280915,1734.65632,1003.27003,7749.8508,151.18954903723798,140.84521864195932,68.68485183162238,109.03829451923146,2.043314366334037
2012,1394.8198246764218,33606.628285899234,5652.124599523758,1801.8408,1018.7308499999999,7808.2482,152.5861438047352,144.02229347094143,69.72074186832309,105.9876873339555,2.043314366334037
2013,1454.6875995709158,33848.4083181184,5116.361824872823,1818.35315,1016.34856,7670.6684,151.14081615061488,144.51138746055665,70.78568922645393,101.4031700118286,2.043314366334037
2014,1502.5385317376922,33949.00234046718,5396.412768614652,1831.88079,1026.92452,7777.0567,151.04445260368405,144.98804871930855,71.9404446002077,96.665203460832,2.043314366334037
2015,1451.21574063764,33955.12551383196,5531.8122517838265,1823.45442,1029.47774,7826.3044,149.5463631662445,145.91957761858416,73.18802715325447,91.23651278377858,2.043314366334037
2016,1490.460086229895,33927.64075396468,4406.4328656947555,1833.15253,1026.03988,7873.0273,147.86405942581612,147.40060043011945,74.20568598796395,87.83277045958866,2.043314366334037
2017,1509.5544509366566,34481.81157247821,4231.194917448608,1861.47199,1031.92095,8048.4806,148.19758705240287,148.42713912433396,75.69395626420915,84.85462379521707,2.043314366334037
2018,1554.5749093509205,35177.35001406404,3844.874478798072,1890.53651,1045.75432,7940.3281,149.76263304760437,149.57918497820157,77.31504964667211,83.25884488450927,2.043314366334037
2019,1623.1864946831242,35482.60497296739,3786.898473860808,1900.7469999999998,1056.18822,7945.2123,148.9512674739758,149.63421108443885,78.59741459524409,81.43515157368248,2.043314366334037
2020,1638.337341244049,33489.621711090454,3439.13404797389,1885.7791000000002,1033.2718300000001,8110.8642,141.46331947925626,151.23544907182787,79.53048718276233,69.56333223934678,2.043314366334037
2021,1696.377634416537,35296.867650288776,3552.9242096630505,1984.03735,1059.80608,8086.6588,143.11656390975634,151.19949637860708,80.80077690347937,72.35997793262395,2.043314366334037
2022,1601.18886166564,35694.168880947196,3541.180610622195,1975.5784700000002,1071.13489,8204.3189,145.0669134480166,151.26674069606295,82.09584866465036,73.46696070966104,2.043314366334037
